"","taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","compressed"
"5040","Potamogetonaceae undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Potamogetonaceae undiff.","Other"
"5051","Clethra","NISP","pollen",NA,"Vascular plants","TRSH","Clethra","Other"
"5062","Sapindus","NISP","pollen",NA,"Vascular plants","TRSH","Sapindus","Other"
"5065","Primula","NISP","pollen",NA,"Vascular plants","UPHE","Primula","Other"
"5074","Hydrocotyle","NISP","pollen",NA,"Vascular plants","AQVP","Hydrocotyle","Other"
"5076","Rutaceae","NISP","pollen",NA,"Vascular plants","TRSH","Rutaceae","Other"
"5078","Styloceras","NISP","pollen",NA,"Vascular plants","TRSH","Styloceras","Other"
"5079","Phoradendron","NISP","pollen",NA,"Vascular plants","TRSH","Phoradendron","Other"
"5083","Myrtaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Myrtaceae undiff.","Other"
"5085","Eugenia","NISP","pollen",NA,"Vascular plants","TRSH","Eugenia","Other"
"5088","Cabomba","NISP","pollen",NA,"Vascular plants","AQVP","Cabomba","Other"
"5089","Dodonaea","NISP","pollen",NA,"Vascular plants","TRSH","Dodonaea","Other"
"5090","Pistacia","NISP","pollen",NA,"Vascular plants","TRSH","Pistacia","Other"
"5094","Viscaceae sensu stricto undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Viscaceae sensu stricto undiff.","Other"
"5097","Myrsine","NISP","pollen",NA,"Vascular plants","TRSH","Myrsine","Other"
"5135","Heteranthera","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"5151","cf. Vitis","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5166","Berberis-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5186","Juncaginaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"5190","Hydrophyllaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5212","Zanthoxylum americanum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5220","Viburnum lentago","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5223","Unknown","NISP","pollen/spore","anachronic","Unidentified","UNID",NA,"Other"
"5227","Solanaceae-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5233","Limonium cf. L. limbatum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5234","Eudicotyledoneae (fenestrate)","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"5235","Calystegia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5236","cf. Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5256","Oxalis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5257","Diospyros","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5258","Parthenocissus vitacea","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5273","Pteridophyta (monolete)","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"5274","Pteridophyta (trilete)","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"5275","Pediastrum","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"5298","cf. Rhus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Rhus","Other"
"5299","Gentianella","NISP","pollen",NA,"Vascular plants","UPHE","Gentianella","Other"
"5310","Fagus/Nyssa","NISP","pollen",NA,"Vascular plants","TRSH","Fagus/Nyssa","Other"
"5312","cf. Verbena","NISP","pollen",NA,"Vascular plants","UPHE","cf. Verbena","Other"
"5315","Polygala","NISP","pollen",NA,"Vascular plants","UPHE","Polygala","Other"
"5351","Helianthemum","NISP","pollen",NA,"Vascular plants","UPHE","Helianthemum","Other"
"5362","Diapensia","NISP","pollen",NA,"Vascular plants","UPHE","Diapensia","Other"
"5365","Sium","NISP","pollen",NA,"Vascular plants","UPHE","Sium","Other"
"5366","Plumbaginaceae cf. Armeria","NISP","pollen",NA,"Vascular plants","UPHE","Plumbaginaceae cf. Armeria","Other"
"5367","Gentiana-type","NISP","pollen",NA,"Vascular plants","UPHE","Gentiana-type","Other"
"5368","Solanum","NISP","pollen",NA,"Vascular plants","UPHE","Solanum","Other"
"5369","Convolvulus","NISP","pollen",NA,"Vascular plants","UPHE","Convolvulus","Other"
"5370","Crassulaceae","NISP","pollen",NA,"Vascular plants","UPHE","Crassulaceae","Other"
"5375","Valeriana-type","NISP","pollen",NA,"Vascular plants","UPHE","Valeriana-type","Other"
"5394","Pediastrum undiff.","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"5396","Ribes montigenum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5404","Stuckenia","NISP","pollen",NA,"Vascular plants","AQVP","Stuckenia","Other"
"5411","Solanum rostratum","NISP","pollen",NA,"Vascular plants","UPHE","Solanum rostratum","Other"
"5413","Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown undiff.","Other"
"5417","Momipites","NISP","pollen","anachronic","Vascular plants","TRSH","Momipites","Other"
"5419","Aquilapollenites","NISP","pollen","anachronic","Vascular plants","ANAC","Aquilapollenites","Other"
"5421","Cingutriletes","NISP","spore","anachronic","Vascular plants","ANAC","Cingutriletes","Other"
"5426","Ceratophyllum","NISP","leaf spine",NA,"Vascular plants","AQVP","Ceratophyllum","Other"
"5427","Comandra","NISP","pollen",NA,"Vascular plants","UPHE","Comandra","Other"
"5457","Cercocarpus/Purshia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5524","cf. Hedysarum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5537","Smilax","NISP","pollen",NA,"Vascular plants","UPHE","Smilax","Other"
"5541","Proserpinaca","NISP","pollen",NA,"Vascular plants","AQVP","Proserpinaca","Other"
"5548","Toxicodendron","NISP","pollen",NA,"Vascular plants","TRSH","Toxicodendron","Other"
"5560","Linum","NISP","pollen",NA,"Vascular plants","UPHE","Linum","Other"
"5583","Lysichiton","NISP","pollen",NA,"Vascular plants","UPHE","Lysichiton","Other"
"5626","Toxicodendron vernix","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5635","cf. Xanthium","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5636","cf. Saxifraga","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5637","cf. Dryas","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5638","Lycopodiella inundata-type","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"5645","Cuscuta","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5713","Portulaca","NISP","pollen",NA,"Vascular plants","UPHE","Portulaca","Other"
"5777","Cistaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5778","Nymphaeaceae undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"5798","Valeriana-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5804","Diervilla lonicera","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5806","Micranthes cf. M. virginiensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5810","cf. Penthorum sedoides","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5822","cf. Hypericum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"5827","Betulaceae/Myricaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5828","Hudsonia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"5854","Haloragaceae undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"5956","Nymphaeaceae","NISP","leaf-hair base",NA,"Vascular plants","AQVP",NA,"Other"
"5965","Micranthes foliolosa","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes foliolosa","Other"
"5975","Portulacaceae","NISP","pollen",NA,"Vascular plants","UPHE","Portulacaceae","Other"
"6005","Ruppia maritima","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"6020","Violaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Violaceae undiff.","Other"
"6036","Ailanthus","NISP","pollen",NA,"Vascular plants","TRSH","Ailanthus","Other"
"6048","Comarum palustre","NISP","pollen",NA,"Vascular plants","UPHE","Comarum palustre","Other"
"6072","cf. Mirabilis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6073","cf. Campanula","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6080","cf. Primula","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6083","cf. Verbenaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6085","cf. Veronica","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6113","Ailanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6114","cf. Heteranthera","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6115","Iris","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6117","cf. Opuntia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6120","cf. Verbascum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6151","Celastrus","NISP","pollen",NA,"Vascular plants","TRSH","Celastrus","Other"
"6152","Hypoxis","NISP","pollen",NA,"Vascular plants","UPHE","Hypoxis","Other"
"6156","Zigadenus","NISP","pollen",NA,"Vascular plants","UPHE","Zigadenus","Other"
"6162","Gentiana andrewsii-type","NISP","pollen",NA,"Vascular plants","UPHE","Gentiana andrewsii-type","Other"
"6163","cf. Hypericum","NISP","pollen",NA,"Vascular plants","UPHE","cf. Hypericum","Other"
"6169","Cupressaceae/Taxaceae","NISP","pollen",NA,"Vascular plants","TRSH","Cupressaceae/Taxaceae","Other"
"6210","cf. Cercocarpus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6219","cf. Bistorta bistortoides","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6238","Polygalaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6269","Oxalidaceae","NISP","pollen",NA,"Vascular plants","UPHE","Oxalidaceae","Other"
"6277","Bryales","NISP","spore",NA,"Bryophytes","UPBR","Bryales","Other"
"6290","Geraniaceae","NISP","pollen",NA,"Vascular plants","UPHE","Geraniaceae","Other"
"6314","Hydrophyllaceae-type","NISP","pollen",NA,"Vascular plants","UPHE","Hydrophyllaceae-type","Other"
"6332","Leitneria floridana","NISP","pollen",NA,"Vascular plants","TRSH","Leitneria floridana","Other"
"6356","Haloragaceae undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Haloragaceae undiff.","Other"
"6379","Lobelia-type","NISP","pollen",NA,"Vascular plants","UPHE","Lobelia-type","Other"
"6381","Micranthes cf. M. punctata","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes cf. M. punctata","Other"
"6382","Micranthes cf. M. stellaris","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes cf. M. stellaris","Other"
"6383","cf. Scheuchzeria palustris","NISP","pollen",NA,"Vascular plants","AQVP","cf. Scheuchzeria palustris","Other"
"6440","Ruppia maritima-type","NISP","pollen",NA,"Vascular plants","AQVP","Ruppia maritima-type","Other"
"6452","Casuarina","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6453","Justicia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6455","Bumelia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6456","Eudicotyledoneae (tricolpate)","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"6458","Ovoidites","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"6466","Unknown (triporate)","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"6480","Melaleuca","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6484","Schinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6485","Trema","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6496","cf. Acer","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6497","Bursera simaruba","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6535","Buxus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6570","Lewisia","NISP","pollen",NA,"Vascular plants","UPHE","Lewisia","Other"
"6584","Zigadenus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6636","Rhus/Toxicodendron cf. T. radicans","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6639","cf. Heuchera richardsonii","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6644","Viburnum opulus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6646","Triantha glutinosa","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6647","cf. Mertensia paniculata","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6694","cf. Robinia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6699","cf. Taxus canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6728","Valerianella-type","NISP","pollen",NA,"Vascular plants","UPHE","Valerianella-type","Other"
"6735","Garrya-type","NISP","pollen",NA,"Vascular plants","TRSH","Garrya-type","Other"
"6741","Solanum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6742","Unknown (diporate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"6746","Clusiaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6756","Purshia-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6758","Ribes lacustre","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6761","Nuphar","NISP","leaf-hair base",NA,"Vascular plants","AQVP",NA,"Other"
"6766","Ribes undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6776","Huperzia lucidula-type","NISP","spore",NA,"Vascular plants","VACR","Huperzia lucidula-type","Other"
"6780","Trientalis","NISP","pollen",NA,"Vascular plants","UPHE","Trientalis","Other"
"6795","Typha latifolia (monad)","NISP","pollen",NA,"Vascular plants","AQVP","Typha latifolia (monad)","Other"
"6796","Typha latifolia undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Typha latifolia undiff.","Other"
"6807","Viburnum opulus-type","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum opulus-type","Other"
"6815","Tribulus","NISP","pollen",NA,"Vascular plants","UPHE","Tribulus","Other"
"6826","Convolvulaceae","NISP","pollen",NA,"Vascular plants","UPHE","Convolvulaceae","Other"
"6855","Zanthoxylum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6873","cf. Saxifragaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"6906","Marchantiophyta","NISP","spore",NA,"Bryophytes","UPBR","Marchantiophyta","Other"
"6909","Micranthes foliolosa-type","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes foliolosa-type","Other"
"6948","Claytonia","NISP","pollen",NA,"Vascular plants","UPHE","Claytonia","Other"
"6953","Unknown undiff.","NISP","spore","anachronic","Unidentified","UNID","Unknown undiff.","Other"
"6978","cf. Viburnum lentago","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6979","Toxicodendron radicans-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"6982","cf. Amorpha","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7116","Nymphaeaceae","NISP","pollen",NA,"Vascular plants","AQVP","Nymphaeaceae","Other"
"7127","Tradescantia","NISP","pollen",NA,"Vascular plants","UPHE","Tradescantia","Other"
"7128","cf. Arisaema","NISP","pollen",NA,"Vascular plants","UPHE","cf. Arisaema","Other"
"7129","cf. Podophyllum","NISP","pollen",NA,"Vascular plants","UPHE","cf. Podophyllum","Other"
"7179","Indeterminable undiff.","NISP","pollen/spore",NA,"Unidentified","UNID","Indeterminable undiff.","Other"
"7210","cf. Decodon verticillatus","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"7213","cf. Geranium","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7217","cf. Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"7218","cf. Eriogonum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7219","cf. Ilex","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7222","cf. Rhus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7234","cf. Menyanthes trifoliata","NISP","pollen",NA,"Vascular plants","UPHE","cf. Menyanthes trifoliata","Other"
"7345","Eucalyptus","NISP","pollen",NA,"Vascular plants","TRSH","Eucalyptus","Other"
"7361","Triantha glutinosa","NISP","pollen",NA,"Vascular plants","UPHE","Triantha glutinosa","Other"
"7407","Diospyros-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7465","Cyrilla racemiflora","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7466","Dinoflagellata","NISP","cyst",NA,"Dinoflagellates","DINO",NA,"Other"
"7476","Aralia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7484","Xyris","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7485","Lechea","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7487","Phoradendron","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7489","Rhexia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7495","Symplocos","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7496","cf. Anthoceros","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"7498","Bursera simaruba","NISP","pollen",NA,"Vascular plants","TRSH","Bursera simaruba","Other"
"7499","Casuarina","NISP","pollen",NA,"Vascular plants","TRSH","Casuarina","Other"
"7502","Ovoidites","NISP","palynomorph",NA,"Algae","ALGA","Ovoidites","Other"
"7507","Unknown (triporate)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (triporate)","Other"
"7510","Eudicotyledoneae (tricolporate)","NISP","pollen",NA,"Vascular plants","SEED","Eudicotyledoneae (tricolporate)","Other"
"7514","Eudicotyledoneae (tetracolpate)","NISP","pollen",NA,"Vascular plants","SEED","Eudicotyledoneae (tetracolpate)","Other"
"7515","Melastomataceae","NISP","pollen",NA,"Vascular plants","TRSH","Melastomataceae","Other"
"7550","Acorus calamus","NISP","pollen",NA,"Vascular plants","AQVP","Acorus calamus","Other"
"7551","Rhus typhina-type","NISP","pollen",NA,"Vascular plants","TRSH","Rhus typhina-type","Other"
"7734","cf. Sambucus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"7759","Simmondsia chinensis","NISP","pollen",NA,"Vascular plants","TRSH","Simmondsia chinensis","Other"
"7765","Fouquieria","NISP","pollen",NA,"Vascular plants","TRSH","Fouquieria","Other"
"7767","Canotia","NISP","pollen",NA,"Vascular plants","TRSH","Canotia","Other"
"7768","Thecaphora","NISP","spore",NA,"Fungi","FUNG","Thecaphora","Other"
"7769","Agave","NISP","pollen",NA,"Vascular plants","SUCC","Agave","Other"
"7770","Kallstroemia","NISP","pollen",NA,"Vascular plants","UPHE","Kallstroemia","Other"
"7771","Hydrophyllaceae","NISP","pollen",NA,"Vascular plants","UPHE","Hydrophyllaceae","Other"
"7772","Lycium","NISP","pollen",NA,"Vascular plants","TRSH","Lycium","Other"
"7774","Lythrum","NISP","pollen",NA,"Vascular plants","UPHE","Lythrum","Other"
"7775","Garrya","NISP","pollen",NA,"Vascular plants","TRSH","Garrya","Other"
"7776","Allionia","NISP","pollen",NA,"Vascular plants","UPHE","Allionia","Other"
"7779","Parkinsonia","NISP","pollen",NA,"Vascular plants","TRSH","Parkinsonia","Other"
"7812","cf. Parnassia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Parnassia","Other"
"7823","Primulaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Primulaceae undiff.","Other"
"7829","Hypericum-type","NISP","pollen",NA,"Vascular plants","UPHE","Hypericum-type","Other"
"7834","Acalypha","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7835","Unknown/Indeterminable","NISP digitized","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"7836","Bryopsida","NISP digitized","spore",NA,"Bryophytes","UPBR",NA,"Other"
"7837","Helianthemum","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7838","Apocynum","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7839","Avicennia","NISP","pollen",NA,"Vascular plants","MANG","Avicennia","Other"
"7840","Bumelia","NISP","pollen",NA,"Vascular plants","TRSH","Bumelia","Other"
"7842","cf. Acanthaceae","NISP","pollen",NA,"Vascular plants","UPHE","cf. Acanthaceae","Other"
"7843","Conocarpus","NISP","pollen",NA,"Vascular plants","MANG","Conocarpus","Other"
"7844","Decodon verticillatus","NISP","pollen",NA,"Vascular plants","AQVP","Decodon verticillatus","Other"
"7845","Eudicotyledoneae (tricolpate)","NISP","pollen",NA,"Vascular plants","SEED","Eudicotyledoneae (tricolpate)","Other"
"7847","Rhizophora","NISP","pollen",NA,"Vascular plants","MANG","Rhizophora","Other"
"7851","Unknown (tetrad, triporate)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (tetrad, triporate)","Other"
"7854","Schinus","NISP","pollen",NA,"Vascular plants","TRSH","Schinus","Other"
"7856","Hippocratea","NISP","pollen",NA,"Vascular plants","TRSH","Hippocratea","Other"
"7857","Melaleuca","NISP","pollen",NA,"Vascular plants","TRSH","Melaleuca","Other"
"7859","cf. Coccoloba","NISP","pollen",NA,"Vascular plants","TRSH","cf. Coccoloba","Other"
"7861","Trema","NISP","pollen",NA,"Vascular plants","TRSH","Trema","Other"
"7863","Eudicotyledoneae (tetracolporate)","NISP","pollen",NA,"Vascular plants","SEED","Eudicotyledoneae (tetracolporate)","Other"
"7910","Gentiana undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7913","Gentiana douglasiana","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"7922","Triglochin maritima","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"7958","Lythrum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"8033","cf. Lysimachia thyrsiflora","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"8036","cf. Cephalanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"8039","Impatiens capensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"8110","Hudsonia","NISP","pollen",NA,"Vascular plants","TRSH","Hudsonia","Other"
"8113","Betulaceae/Myricaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Betulaceae/Myricaceae undiff.","Other"
"8226","Myriophyllum verticillatum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"8231","Fraxinus/Platanus","NISP","pollen",NA,"Vascular plants","TRSH","Fraxinus/Platanus","Other"
"8316","Xyris","NISP","pollen",NA,"Vascular plants","UPHE","Xyris","Other"
"8396","Maianthemum trifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Maianthemum trifolia-type","Other"
"8518","Saxifraga-type","NISP","pollen",NA,"Vascular plants","UPHE","Saxifraga-type","Other"
"8566","Cercocarpus/Purshia","NISP","pollen",NA,"Vascular plants","TRSH","Cercocarpus/Purshia","Other"
"8573","cf. Brasenia schreberi","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"8601","Parkinsonia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"8620","Viburnum acerifolium-type","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum acerifolium-type","Other"
"8621","Viburnum lentago-type","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum lentago-type","Other"
"8634","Calycanthus","NISP","pollen",NA,"Vascular plants","TRSH","Calycanthus","Other"
"8673","cf. Gentiana","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"8684","Unknown (monocolpate)","NISP","pollen",NA,"Vascular plants","UNID",NA,"Other"
"8685","Unknown (periporate)","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"8701","Eudicotyledoneae (tetracolporate)","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"8736","cf. Primula","NISP","pollen",NA,"Vascular plants","UPHE","cf. Primula","Other"
"8737","Unknown (Paleozoic)","NISP","megaspore","anachronic","Unidentified","ANAC","Unknown (Paleozoic)","Other"
"8824","Drosera rotundifolia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"8858","cf. Populus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Populus","Other"
"8861","Nymphaeaceae","NISP","leaf-hair base",NA,"Vascular plants","AQVP","Nymphaeaceae","Other"
"8996","Pontederiaceae","NISP","pollen",NA,"Vascular plants","AQVP","Pontederiaceae","Other"
"9017","Unknown (trilete, Cretaceous)","NISP","spore","anachronic","Unidentified","ANAC",NA,"Other"
"9106","Plumbaginaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9130","cf. Dodecatheon","NISP","pollen",NA,"Vascular plants","UPHE","cf. Dodecatheon","Other"
"9140","Erodium cicutarium","NISP","pollen",NA,"Vascular plants","UPHE","Erodium cicutarium","Other"
"9141","Fecal pellets","NISP",NA,NA,"Unidentified","UNID","Fecal pellets","Other"
"9146","Podocarpus","NISP","pollen",NA,"Vascular plants","TRSH","Podocarpus","Other"
"9147","Sporites","NISP","spore",NA,"Unidentified","UNID","Sporites","Other"
"9149","cf. Limonium","NISP","pollen",NA,"Vascular plants","UPHE","cf. Limonium","Other"
"9153","Batis","NISP","pollen",NA,"Vascular plants","TRSH","Batis","Other"
"9170","Tillandsia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9176","cf. Clethra","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9216","Vitis cf. V. aestivalis","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9218","Acalypha cf. A. rhomboidea","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9219","cf. Lobelia siphilitica","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9223","Tilletia sphagni","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"9224","cf. Arabis glabra","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9260","Lycopodiaceae cf. Pseudolycopodiella caroliniana","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"9268","cf. Asimina","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9307","Juncus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9310","Cupressaceae/Taxaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Cupressaceae/Taxaceae undiff.","Other"
"9320","Podospora","NISP","spore",NA,"Fungi","FUNG","Podospora","Other"
"9325","Helicoma","NISP","spore",NA,"Fungi","FUNG","Helicoma","Other"
"9327","Balsaminaceae","NISP","pollen",NA,"Vascular plants","UPHE","Balsaminaceae","Other"
"9415","Unknown (monolete, psilate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"9428","Ribes lacustre","NISP","pollen",NA,"Vascular plants","TRSH","Ribes lacustre","Other"
"9429","Dasylirion","NISP","pollen",NA,"Vascular plants","SUCC","Dasylirion","Other"
"9432","Veratrum","NISP","pollen",NA,"Vascular plants","UPHE","Veratrum","Other"
"9440","Algae","NISP","palynomorph",NA,"Algae","ALGA","Algae","Other"
"9442","Ruppia","NISP","pollen",NA,"Vascular plants","AQVP","Ruppia","Other"
